code,abbr,description,nrf,active
-B2,BLK,BLK/BLK,001,Y
000,00,NO BOX & NO CLR,000,Y
001,WHT,WHITE,100,Y
002,MOP,MOP,170,Y
003,BLK,BLACK,001,Y
004,SIL,SILVER,044,Y
005,GLD,GOLD,710,Y
006,BRN,BROWN,200,Y
007,NVY,NAVY,410,Y
008,CHP,CHAMPAGNE,712,Y
009,PNK,PINK,650,Y
00A,00A,NA,999,Y
00B,00B,MULTI FLORAL,959,Y
00C,00C,MULTI FLORAL,959,Y
00D,00D,MULTI FLORAL,959,Y
00E,00E,MULTI FLORAL,959,Y
00F,00F,MULTI FLORAL,959,Y
00G,00G,MULTI FLORAL,959,Y
00H,00H,MULTI FLORAL,959,Y
00I,00I,MULTI FLORAL,959,Y
00J,00J,MULTI FLORAL,959,Y
00K,00K,MULTI FLORAL,959,Y
00L,00L,MULTI FLORAL,959,Y
00M,00M,MULTI FLORAL,959,Y
00S,00S,STONE MONO,949,Y
00T,STN,STONE,232,Y
010,BBK,BLACK / BLACK,001,Y
011,BKG,BLACK / GOLD,015,Y
012,BKM,BLACK / MOP,014,Y
013,BKS,BLACK / SILVER,007,Y
014,BNS,BROWN / SILVER,200,Y
015,BNW,BROWN / WHITE,200,Y
016,BNM,BROWN / MOP,200,Y
017,BNB,BROWN /BROWN,200,Y
018,PNM,PINK / MOP,662,Y
019,PNS,PINK/TURQ,662,Y
01A,01BRT,BRT TIEDYE BLKA,980,Y
01B,01BRT,BRT TIE DYE BLK,980,Y
01C,SNKC,SNAKE-C RUN,140,Y
01D,01D,WHITE/ DEER,100,Y
01G,GOOR,GOLD/ORANGE,847,Y
01M,MAGEN,MAGENTA,665,Y
01S,SNKB,SNAKE-B RUN,140,Y
020,PNP,PINK / PINK,650,Y
021,PUB,PURPLE / BLACK,548,Y
022,PUS,PURPLE/SILVER,561,Y
023,PUG,PURPLE/GOLD,535,Y
024,NVS,NAVY/SILVER,411,Y
025,NVM,NAVY/MOP,411,Y
026,NVW,NAVY/WHITE,412,Y
027,WHM,WHITE/MOP,150,Y
028,WHG,WHITE/GOLD,114,Y
029,WHS,WHITE/SILVER,121,Y
02A,02ABL,BLK TIEDYE BLKA,981,Y
02B,02BLK,BLK TIEDYE BLK,981,Y
02G,GOFU,GOLD/FUSHIA,676,Y
02M,02M,PINK BANDANA,650,Y
030,BKB,BLACK/BLUE,425,Y
031,BUR,BURGUNDY,640,Y
032,BL,BLUE,400,Y
033,RD,RED,600,Y
034,BEG,BEIGE,281,Y
035,SILGD,SILVER/GOLD,176,Y
036,OR,ORANGE,800,Y
037,WTW,WHITE/WHITE,100,Y
038,PNS,PINK/SILVER,662,Y
039,GDS,GOLD/SILVER,156,Y
03A,0AANA,NVY TIEDYE NVY,982,Y
03B,03ANV,NVY TIE DYE NVY,982,Y
03G,GOMI,GOLD/MINT,335,Y
040,BLGR,BLUE/GREY,483,Y
041,SLS,SILVER/SILVER,044,Y
042,SLM,SILVER/MOP,041,Y
043,GDM,GOLD/MOP,150,Y
044,BNG,BROWN/GOLD,209,Y
045,PNG,PINK/GOLD,664,Y
046,GDG,GOLD/GOLD,710,Y
047,LVS,LAVENDER/SILVER,049,Y
048,BKW,BLACK/WHITE,005,Y
049,BKB,BLACK/BLUE,425,Y
04G,GOBZ,GOLD/BRONZE,985,Y
050,BNB,BROWN/BLACK,209,Y
051,BKB,BLACK/BROWN,003,Y
052,GDW,GOLD/WHITE,155,Y
053,SLW,SILVER/WHITE,121,Y
054,CHGD,CHAMPAYNE/GOLD,718,Y
055,MPWHT,MOP/WHITE,170,Y
056,MPBLK,MOP/BLACK,170,Y
057,MPBRN,MOP/BROWN,170,Y
058,SLBLK,SILVER/BLACK,040,Y
059,WHTPK,WHITE/PINK,112,Y
05G,GOCO,GOLD/CORAL,846,Y
060,BKPNK,BLACK/PINK,653,Y
061,WHTBL,WHITE/BLUE,118,Y
062,NGWHT,NEONGRNWHT,695,Y
063,SDGRN,SILVER/DK GREEN,086,Y
064,SILNA,SILVER/ NAVY,086,Y
065,MMETB,MATT METLIC BLK,001,Y
066,DKGRE,DARK GREY,021,Y
067,SILPU,SILVER /PURPLE,561,Y
068,METGL,METALLIC GOLD,090,Y
069,LPPUR,LTPURLE/ PURPLE,985,Y
06A,06A,LIGHT TAN A,254,Y
06F,06F,BROWN/FLORAL,209,Y
06G,GOTA,GOLD/TAUPE,075,Y
06T,06T,LIGHT TAN,254,Y
070,SILVE,SILVER,044,Y
071,GOLD,GOLD,710,Y
072,TTGD,TWO/TONE GOLD,899,Y
073,TTRS,TWO/TONE ROSE,899,Y
074,ROSWH,ROSEGOLD/WHT,228,Y
075,IPGUN,IP/GUN,985,Y
076,WHITE,WHITE,100,Y
077,BROWN,BROWN,200,Y
078,MULTI,MULTI COLOR,985,Y
079,YELLO,YELLOW,700,Y
07A,07A,BURNT ORANGE,803,Y
07G,GBL,GOLD/BLUSH,720,Y
080,PURPL,PURPLE,500,Y
081,RSWHT,ROSE/WHITE,657,Y
082,SILBL,SILVER/BLUE,400,Y
083,LAVEN,LAVENDER,530,Y
084,BLKCH,BLACK/CHAMPAYNE,003,Y
085,BKRED,BLACK/RED,992,Y
086,BLKOR,BLACK/ORANGE,966,Y
087,BLKYL,BLACK/YELLOW,009,Y
088,BRONZ,BRONZE,208,Y
089,CRMOP,CREAM/MOP,110,Y
08A,TTM,TAUPE MICROSUED,060,Y
08G,GOIV,GOLD/IVORY,985,Y
090,RDGLD,RED/GOLD,607,Y
091,COPPE,COPPER,220,Y
092,RSGLD,ROSEGOLD,228,Y
093,BECHA,BEIGE/CHAMPAYNE,281,Y
094,RSMOP,ROSE/MOP,657,Y
095,SI-BN,SIL-BLUE NAUTIC,089,Y
096,LEO-W,LEOP-WHT,997,Y
097,DF-WT,DKFU-WHT,985,Y
098,CM-WH,CAMEL/WHITE,295,Y
099,CLEAR,CLEAR,964,Y
09G,GOLE,GOLD/LEOPARD,985,Y
0A0,NVYH9,NAVY 6,410,Y
0A1,GREGL,GREEN STONES,356,Y
0A2,SIL84,SILVER 6,044,Y
0A3,WHTNT,WHITE 18,100,Y
0A4,BRNMI,BROWN 12,200,Y
0A5,WHTAU,WHITE 6,100,Y
0A6,PNKAU,PINK 6,650,Y
0A7,GOCP,GOLD/CREAMPEARL,174,Y
0A8,YELAU,YELLOW 6,700,Y
0A9,RSGLD,ROSEGOLD,228,Y
0AA,BLS,BLUSH,691,Y
0AB,RDAU,RED 6,600,Y
0AC,BLKAU,BLACK 6,001,Y
0AD,WHTZP,WHITE 6,100,Y
0AE,PNKZP,PINK 6,650,Y
0AF,YELZP,YELLOW 6,700,Y
0AG,RDZP,RED 6,600,Y
0AH,BLZQ,BLUE 6,400,Y
0AI,BRNZQ,BROWN 6,200,Y
0AJ,BLSZQ,BLUSH 6,691,Y
0AK,WHTZQ,WHITE 6,100,Y
0AL,BKPZQ,BLACK/PINK 6,653,Y
0AM,PNKZQ,PINK 6,650,Y
0AN,WHTZR,WHITE/BLUE 48,118,Y
0AO,PNKZR,PINK 48,650,Y
0AP,NVYZR,NAVY 48,410,Y
0AQ,WHTZA,WHITE/BLUE 4,118,Y
0AR,PNKZA,PINK 4,650,Y
0AS,NVYZA,NAVY 4,410,Y
0AT,STNZQ,STONE 6,232,Y
0AU,BLKZQ,BLACK 6,001,Y
0AV,BLKZT,BLACK 8,001,Y
0AW,PNKZT,PINK 8,650,Y
0AX,BLKAZ,BLACK 4,001,Y
0AY,BRNAZ,BROWN 4,200,Y
0AZ,PNKAZ,PINK 4,650,Y
0B0,BRNCD,BROWN 6,200,Y
0B1,PNKCD,PINK 6,650,Y
0B2,BKWCD,BLACK/WHITE 6,005,Y
0B3,BLKCD,BLACK 6,001,Y
0B4,YELCD,YELLOW 6,700,Y
0B5,WHTZQ,WHITE/PINK 6,112,Y
0B6,RDCD,RED 6,600,Y
0B7,BLKZU,BLACK 5,001,Y
0B8,BKWZU,BLACK/WHITE 5,005,Y
0B9,PNKZU,PINK 5,650,Y
0BA,0BA,BLUE A,400,Y
0BB,BRNZU,BROWN 5,200,Y
0BC,0BC,BLACK/CHERRY,001,Y
0BD,SAWZU,SAGE/WHITE 5,354,Y
0BE,BLK9Q,BLACK 3,001,Y
0BF,STN9Q,STONE 3,232,Y
0BG,BRWGY,BROWN/GREY,209,Y
0BH,BLH,BLACK HEART,,Y
0BI,WHT9Q,WHITE 3,100,Y
0BJ,BRNSY,BROWN 4,200,Y
0BK,BLKSY,BLACK 4,001,Y
0BL,BRL,BROWN/LEATHER,755,Y
0BM,BEMA,BEIGE/MAUVE,298,Y
0BN,BEGNY,BEIGE/NAVY,253,Y
0BO,BKWZQ,BLACK/WHITE 6,005,Y
0BP,NVWZQ,NAVY/WHITE 6,412,Y
0BQ,NVWAU,NAVY/WHITE 6,412,Y
0BR,BKBZQ,BLACK/BROWN 6,003,Y
0BS,WHTZA,WHITE 4,100,Y
0BT,BLKZA,BLACK 4,001,Y
0BU,BKGM,BLACK/GUM,096,Y
0BV,BURZA,BURGUNDY 4,640,Y
0BW,NVYCD,NAVY 6,410,Y
0BX,WHTV0,WHITE/PINK 6,112,Y
0BY,PNKV0,PINK 6,650,Y
0BZ,YELV0,YELLOW 6,700,Y
0C0,RDV0,RED 6,600,Y
0C1,BLV0,BLUE 6,400,Y
0C2,BLKV0,BLACK 6,001,Y
0C3,BKBV0,BLACK/BLUE 6,425,Y
0C4,RDZQ,RED 6,600,Y
0C5,NVYZQ,NAVY 6,410,Y
0C6,BURV0,BURGUNDY 6,640,Y
0C7,BAEA,BLACK/CHESTNUT,925,Y
0C8,PNKV2,PINK 6,650,Y
0C9,WHTV0,WHITE 6,100,Y
0CA,0CA,CHESTNUT/PINK A,641,Y
0CB,0CB,CHOC BERRY/CHOC,251,Y
0CC,NVYV0,NAVY 6,410,Y
0CD,BLKV2,BLACK 6,001,Y
0CE,WHTV2,WHITE 6,100,Y
0CF,BLV2,BLUE 6,400,Y
0CG,RDV2,RED 6,600,Y
0CH,WHTV3,WHITE 6,100,Y
0CI,PNKV3,PINK 6,650,Y
0CJ,RDV3,RED 6,600,Y
0CK,BLKV3,BLACK 6,001,Y
0CL,NVYV3,NAVY 6,410,Y
0CM,WHTZU,WHITE 5,100,Y
0CN,CAMNY,CAMEL/NAVY,259,Y
0CO,PNKCR,PINK 5,650,Y
0CP,BLKCR,BLACK 5,001,Y
0CQ,BLKZV,BLACK 6,001,Y
0CR,PNKS3,PINK 6,650,Y
0CS,BLKS3,BLACK 6,001,Y
0CT,BURZQ,BURGUNDY 6,640,Y
0CU,DKGZQ,DARK GREY 6,021,Y
0CV,BNBCD,BROWN/BLACK 6,209,Y
0CW,PNKZV,PINK 6,650,Y
0CX,WHTAU,WHITE/PINK 6,112,Y
0CY,BRNV3,BROWN 6,200,Y
0CZ,WHTZ2,WHITE/PINK 6,112,Y
0D0,YELV3,YELLOW 6,700,Y
0D1,WHTZV,WHITE 6,100,Y
0D2,WHTCR,WHITE 5,100,Y
0D3,WHTV4,WHITE 6,100,Y
0D4,BLKV4,BLACK 6,001,Y
0D5,PNKV4,PINK 6,650,Y
0D6,BLV4,BLUE 6,400,Y
0D7,WHTZU,WHITE/PINK 5,112,Y
0D8,YELZQ,YELLOW 6,700,Y
0D9,WHTZQ,WHITE/BLUE 6,118,Y
0DA,BRNAU,BROWN 6,200,Y
0DB,BLSAU,BLUSH 6,691,Y
0DC,DRY,DK CHERRY,609,Y
0DD,BLAU,BLUE 6,400,Y
0DE,DKGBG,DK GREY/BEIGE,057,Y
0DF,YELV4,YELLOW 6,700,Y
0DG,SKGD,DARK GOLD,771,Y
0DH,BLSV0,BLUSH 6,691,Y
0DI,BRNV0,BROWN 6,200,Y
0DJ,BLKV5,BLACK 4,001,Y
0DK,PNKV5,PINK 4,650,Y
0DL,YELV5,YELLOW 4,700,Y
0DM,WHTV5,WHITE 4,100,Y
0DN,BRNV4,BROWN 6,200,Y
0DO,PNKZW,PINK 6,650,Y
0DP,BLV6,BLUE 6,400,Y
0DQ,PNKV6,PINK 6,650,Y
0DR,BRNV6,BROWN 6,200,Y
0DS,WHTV6,WHITE 6,100,Y
0DT,YELV6,YELLOW 6,700,Y
0DU,BLK12,BLACK 2,001,Y
0DV,NVYV4,NAVY 6,410,Y
0DW,BKWDN,BLACK/WHITE 6,005,Y
0DX,BLKZX,BLACK 7,001,Y
0DY,BLV3,BLUE 6,400,Y
0DZ,NVYV2,NAVY 6,410,Y
0E0,BKWAU,BLACK/WHITE 6,005,Y
0E1,BKPAU,BLACK/PINK 6,653,Y
0E2,BLKZ2,BLACK 6,001,Y
0E3,WHTV7,WHITE 6,100,Y
0E4,NVYZY,NAVY 4,410,Y
0E5,BRNZY,BROWN 4,200,Y
0E6,BRNV8,BROWN 6,200,Y
0E7,NVYZZ,NAVY 8,410,Y
0E8,DKGZZ,DARK GREY 8,021,Y
0E9,BLKZZ,BLACK 8,001,Y
0EA,BLKV6,BLACK 6,001,Y
0EB,WHTCD,WHITE 6,100,Y
0EC,ORZQ,ORANGE 6,800,Y
0ED,NVYV8,NAVY 6,410,Y
0EE,PNKV9,PINK 4,650,Y
0EF,WHTV9,WHITE 4,100,Y
0EG,NVYV9,NAVY 4,410,Y
0EH,BRNZA,BROWN 4,200,Y
0EI,BLSZU,BLUSH 5,691,Y
0EJ,BNBAZ,BROWN/BLACK 4,209,Y
0EK,NVYAZ,NAVY 4,410,Y
0EL,RDZA,RED 4,600,Y
0EM,BKPZA,BLACK/PINK 4,653,Y
0EN,ORCD,ORANGE 6,800,Y
0EO,NVYDR,NAVY 2,410,Y
0EP,BRNDR,BROWN 2,200,Y
0EQ,BLKDR,BLACK 2,001,Y
0ER,BLKDS,BLACK 4,001,Y
0ES,PNKZF,PINK 6,650,Y
0ET,WHTTA,WHEAT TAN,299,Y
0EU,RDZF,RED 6,600,Y
0EV,PNKSA,PINK 6,650,Y
0EW,RDSA,RED 6,600,Y
0EX,NVWSA,NAVY/WHITE 6,412,Y
0EY,BLKSA,BLACK 6,001,Y
0EZ,BKWAZ,BLACK/WHITE 4,005,Y
0FM,FLAME,FLAME,608,Y
0G7,0G7,GUAVA,356,Y
0GA,0GA,ROSEGOLD GL A,228,Y
0GE,GREGY,GREEN/GREY,356,Y
0GL,RGG,ROSEGOLD GLITTE,228,Y
0GM,GREMU,GREY MULTI,186,Y
0GP,GLP,GLITTER PEWTER,065,Y
0GR,GLDRT,GOLD/RUST,221,Y
0GS,GLS,SILVER GLITTER,065,Y
0GT,GRPHT,GRAPHITE,091,Y
0GX,GXSL,GALAXY SILVER,088,Y
0MA,0MA,TAN MONO A,865,Y
0ML,0ML,MULTI,985,Y
0MT,METAL,METALLIC,090,Y
0NA,0NA,NUDE/CLEAR A,263,Y
0NB,0NB,NUDE/CLEAR B,263,Y
0NC,0NC,NUDE/CLEAR,263,Y
0NE,NVLV,NAVY/LAVENDER,482,Y
0NG,ONG,BURNT ORANGE,803,Y
0NT,NUMT,NUDE MULTI,263,Y
0NU,NUDE,NUDE,987,Y
0OA,ORP,ORANGE/PURPLE A,859,Y
0OB,OWBL,OFF WHITE/BLUSH,170,Y
0OE,OWBE,OFF WHITE/BEIGE,171,Y
0OG,OFWGY,OFF WHITE/GREY,169,Y
0OR,OFWRD,OFF WHITE/RED,188,Y
0PA,0PA,LIGHT SAGE A,334,Y
0PB,0PB,LT PINK/BLACK,694,Y
0PD,PLGD,PALE GOLD,235,Y
0PE,0PE,BRIGHT PURPLE A,521,Y
0PI,PAPK,PALE PINK,954,Y
0PL,PLSIL,PALE SILVER,087,Y
0PP,0PP,LIGHT SAGE,334,Y
0QA,BA,BLACK/CHESTNUT,925,Y
0QW,BC,BLACK/CHESTNUT,925,Y
0RG,RGCOR,ROSE GOLD/CORAL,228,Y
0SA,0SA,CLEAR SPARKLE A,393,Y
0SB,0SB,STARLIGHT BLUE,451,Y
0SN,SNAKE,SNAKESKIN,140,Y
0ST,SLMT,SILVER MULTI,089,Y
0SW,SAWH,SAGE/WHITE,354,Y
0SY,SLTGY,SLATE GREY,080,Y
0TA,0TA,BLK/TORTOISE A,359,Y
0TB,TABL,TAN/BLUE,113,Y
0TC,0TC,TAN/CHOCO,285,Y
0TE,TAUNU,TAUPE/NUDE,081,Y
0TI,TANOL,TAN/OLIVE,224,Y
0TL,TFB,TPE/FCHSIA/BLSH,092,Y
