customer,name,name_norm,terms,terms_description,ship_via,def_wh,div,active,addr1,city,state,postal
01,#1 BEAUTY SUPPLY,1BEAUTYSUPPLY,C8,CIT NET 10 EOM + 30,,,,N,1680 17 DUNN AVENUE,JACKSONVILLE,FL,32218
010,A-Z WATCHES,AZWATCHES,30,NET 30,,,,N,7500 BELLAIRE BLVD.,HOUSTON,TX,77036
011,A & E STORES,AESTORES,C8,CIT NET 10 EOM + 30,,,,N,1000 HUYLER STREET,TETERBORO,NJ,07608
02,618 MAIN CLOTHING CORP.DBA $10 SPOT/MADR,618MAINCLOTHINGCORPDBA10SPOTMADR,30,NET 30,,,,N,30 SEAVIEW DRIVE,SEACAUCUS,NJ,07094
03,1093472 ALBERTA LTD.,1093472ALBERTALTD,CC,CREDIT CARD,,,,N,935 ARBOUR LAKE ROAD,ALBERTA,XX,T3G4S9
04,2 MART,2MART,CO,C.O.D.,,,,N,16890 SCHAEFER,CETROIT,MI,48235
05,212 FARRENHEIT CLOTHING CO,212FARRENHEITCLOTHINGCO,CC,CREDIT CARD,,,,N,946 WEST SUNSET BLVD.,ST. GEORGE,UT,84770
06,4 CLOTHING SOLUTIONS,4CLOTHINGSOLUTIONS,CC,CREDIT CARD,,,,N,809 SNATA CRUZ AVENUE,MENLO PARK,CA,94025
07,9100-2196 QUE INC.,91002196QUEINC,,,,,,N,LESCHAUSSURES Y2B INC.,ST. MICHEAL MONTREAL,XX,QCH123G2
08,95 & SUNNY,95SUNNY,CC,CREDIT CARD,,,,N,7211 EAST SOUTHERN AVENUE,MESA,AZ,85029
09,97 CENT PLUS SUPER DEALS,97CENTPLUSSUPERDEALS,CC,CREDIT CARD,,,,N,314 EAST RAIL ROAD AVENUE,CRYSTAL SPRINGS,MS,39059
10BELOW,10 BELOW LLC,10BELOWLLC,6C,CIT NET 60,ROUTING,,,Y,2500 CRESTWOOD BLVD,BIRMINGHAM,AL,35210
10DOLLAR,10 DOLLAR SHOES#1,10DOLLARSHOES1,CC,CREDIT CARD,PICKUP,,,Y,5075 FEDERAL BLVD,SAN DIEGO,CA,92102
10DOLLAR2,10 DOLLAR SHOES#2,10DOLLARSHOES2,CC,CREDIT CARD,PICKUP,,,Y,1299 E MAINE ST,EL CAJON,CA,92020
10SPOT,618 MAIN CLOTHING CORP,618MAINCLOTHINGCORP,C3,CIT NET 30,PACIFICLOG,,,Y,5601 WEST SIDE AVENUE,NORTH BERGEN,NJ,07047
1SALE.COM,1SALE.COM,1SALECOM,,,,,,N,OCTAGON COMMERCE LLC,GROVE CITY,OH,43123
1SALEADAY,1SALEADAY.COM,1SALEADAYCOM,,,,,,N,5960  MIAMI LAKES DR E,MIAMI LAKES,FL,33014
1SALECOM,1 SALE.COM,1SALECOM,,,,,,N,OCTAGON COMMVERCE LLC,MIAMI,FL,33131
20684-1,NASKILA GAMING AT ALABAMA-COUSHATTA,NASKILAGAMINGATALABAMACOUSHATTA,,,,,,Y,PROMOTIONS PO # PONG3405-1,LIVINGSTON,TX,77351
579,579,579,C6,CIT NET 60,,,,N,1000 PENNSYLVANIA AVE,BROOKLYN,NY,11207
7A,7 AVENUE,7AVENUE,,,,,,N,,,,
99CENTS,99 CENTS ONLY STORES LLC,99CENTSONLYSTORESLLC,6C,CIT NET 60,,,,Y,5000 UNION PACIFIC AVE,COMMERCE,CA,90023
99ONLY,99 CENTS ONLY STORES,99CENTSONLYSTORES,C3,CIT NET 30,,,,N,P O BOX 23428,CITY OF COMMERCE,CA,90023
AAFES,HQ - ARMY/ AIR FORCE EXCH SVC,HQARMYAIRFORCEEXCHSVC,C4,CIT NET 45,ROUTING,PF,,Y,1018542,DALLAS,TX,75266
AAFESECOM,AAFES ECOMM,AAFESECOMM,30,NET 30,,,,Y,3911 SOUTH WALTON WALKER BOULEVARD,DALLAS,TX,75236
AANDG,A AND G CLOTHING,AANDGCLOTHING,,,,,,N,222 MERCHANDISE MART,CHICAGO,IL,60654
AAO,AGAINST ALL ODDS,AGAINSTALLODDS,30,NET 30,FEDGROUND,,,Y,222 BRIDGE PLAZA SOUTH,FORT LEE,NJ,07024
ABC,ABC,ABC,C3,CIT NET 30,UPSP,,,N,58-08 MYRTLE AVENUE,RIDGEWOOD,NY,11385
ABC-5,ABC SUPERSTORES (#5),ABCSUPERSTORES5,R6,3% 10 EOM+60,,,,N,161 FERRY STREET,NEWARK,NJ,07105
ABDULAZIZ,ABDUL AZIZ AL HOMAIDHI,ABDULAZIZALHOMAIDHI,WR,WIRE,FEDGROUND,,,Y,OFFICE NO.410/411 4TH FLOOR,RIYADH,AE,11422
ABG,AUTHENTIC BRANDS GROUP,AUTHENTICBRANDSGROUP,,,FEDGROUND,,,Y,1411 BROADWAY,NEW YORK,NY,10018
ABWATCH,A & B WATCHES INC.,ABWATCHESINC,,,,,,N,1234 BROADWAY #7A,NEW YORK,NY,10001
ACE,ACE TOOL REPAIR INC,ACETOOLREPAIRINC,CC,CREDIT CARD,,,,Y,2201 WANTAGH AVE,WANTAGH,NY,11793
ACEHAWAII,ACE HARDWARE HAWAII INC.,ACEHARDWAREHAWAIIINC,30,NET 30,,,,Y,2810 PAA STREET,HONOLULU,HI,96819
ACEINTERNA,ACE INTERNATIONAL,ACEINTERNATIONAL,30,NET 30,,,,N,4507 PIMBER HILL COURT,LILBURN,GA,30047
AE,A & E STORES,AESTORES,,,,,,N,,,,
AEECOM-DS,AMERICAN EXCHANGE ECOM CA WAREHOUSE,AMERICANEXCHANGEECOMCAWAREHOUSE,,,,,,Y,RIVERSIDE,CA,CA,90011
AEECOM-SE,AMERICAN EXCHANGE ECOM NJ WAREHOUSE,AMERICANEXCHANGEECOMNJWAREHOUSE,,,,,,Y,60 JIFFY RD,SOMERSET,NJ,08873
AER,AER GROUP,AERGROUP,C3,CIT NET 30,,,,Y,500 7TH AVE,NEW YORK,NY,10018
AEROAG,"AERO GLOBAL, LLC",AEROGLOBALLLC,60,NET 60,,,,Y,1400 BROADWAY 18TH FL,NEW YORK,NY,10018
AEROSOLES,AEROSOLES,AEROSOLES,60,NET 60,,,,Y,65 NORTH MOORE STREET,NEW YORK,NY,10013
AESTORES,A& E STORES,AESTORES,C8,CIT NET 10 EOM + 30,,,,Y,1000 HUYLER STREET,TETERBORO,NJ,07608
AFAZE,AFAZE,AFAZE,,,,,,N,XXXXXXXXXXXXXXX,XXXXXX,XX,XXXXXXXXX
AGACI,AGACI LLC,AGACILLC,C3,CIT NET 30,,,,N,12460 NETWORK BLVD SUITE106,SAN ANTONIO,TX,78249
AGACI.,"A'GACI, LLC.",AGACILLC,C3,CIT NET 30,UPS,,,N,12460 NETWORK BLVD.,SAN ANTONIO,TX,78249
AJWRIGHT,A.J WRIGHT,AJWRIGHT,C6,CIT NET 60,,,,N,P.O BOX 9126,FRAMINGHAM,MA,01701
AL,ALDI INC.,ALDIINC,,,,,,N,USA,,,
ALBERTDAVI,ALBERT DAVID,ALBERTDAVID,WR,WIRE,,,,Y,1173 EAST 21ST STREET,BROOKLYN,NY,11210
ALDI,ALDI INC.,ALDIINC,3A,CIT NET 30 DAYS,TRUCK,,,Y,1200 NORTH KIRK ROAD,BATAVIA,IL,605101477
ALDIBATA,ALDI BATAVIA,ALDIBATAVIA,3A,CIT NET 30 DAYS,TRUCK,,,N,110 E WARRENVILLE RD,NAPERVILLE,IL,60563
ALDO,ALDO CA,ALDOCA,C6,CIT NET 60,FOB,,,Y,THE ALDO GROUP INC,MONTREAL,QC,H4N 2B3
ALDOACC,ALDO ACCESSORIES,ALDOACCESSORIES,C3,CIT NET 30,,,,N,2300 EMILE BELANGER,MONTREAL,QC,H4R 3J4
ALDOAG,ALDO GROUP INT'L AG,ALDOGROUPINTLAG,C1,CIT NET 15,FOB,,,Y,SCHOCHENMUEHLESTRASSE 6,6340 BAAR,ZG,XXXXX
ALDOUSA,ALDO US INC.,ALDOUSINC,X7,CIT 2%15 DAYS NET 60,FOB,,,Y,1209 ORANGE STREET,WILMINGTON,DE,19801
ALKO,ALKO,ALKO,C3,CIT NET 30,,,,N,8801 KELSO DRIVE,BALTIMORE,MD,21221
ALLTIME,ALL TIME TRADING,ALLTIMETRADING,30,NET 30,UPS,,,N,842 MCDONALD AVE,BROOKLYN,NY,11218
ALTAR,ALTAR'D STATE,ALTARDSTATE,C6,CIT NET 60,,,,Y,235 PARTNERSHIP PARKWAY,MARYVILLE,TN,37801
AM,AM RETAIL GROUP INC.,AMRETAILGROUPINC,,,,,,Y,7401 BOONE AVE NORTH,BROOKLYN PARK,MN,55428
AMAZON,AMAZON.COM.INDC LLC,AMAZONCOMINDCLLC,C3,CIT NET 30,FEDGROUND,,,N,PO BOX 80387,SEATTLE,WA,981080387
AMAZON1,AMAZON,AMAZON,,,FEDGROUND,,,N,GOLDEN STATE FC LLC,SEATTLE,WA,981080387
AMAZONCANA,AMAZON ECOM CANADA - COMPANY 242,AMAZONECOMCANADACOMPANY242,30,NET 30,,,,Y,40 KING ST W 47TH FLOOR,TORONTO,CA,M5H4A9
AMAZONECOM,AMAZON ECOM,AMAZONECOM,30,NET 30,FEDGROUND,,,Y,PO BOX 80387,SEATTLE,WA,98108
AMAZONFBM,AMAZON FBM,AMAZONFBM,30,NET 30,,,,Y,PO BOX 80387,SEATTLE,WA,98108
AMAZONMEXI,AMAZON MEXICO ECOM,AMAZONMEXICOECOM,,,,,,Y,PO BOX  80387,SEATTLE,WA,98108
AMAZONMX,AMAZON MX ECOMM,AMAZONMXECOMM,30,NET 30,,,,Y,PO BOX 80387,SEATTLE,WA,98108
AMAZONUK,AMAZON ECOMM UK,AMAZONECOMMUK,30,NET 30,,,,Y,PO BOX 80387,SEATTLE,WA,98108
AMERICAKID,AMERICA'S KIDS,AMERICASKIDS,60,NET 60,TRUCK,,,Y,19 WEST 34TH STREET,NEW YORK,NY,10001
AMERICAN,AMERICAN EXCHANGE TIME LLC,AMERICANEXCHANGETIMELLC,30,NET 30,,,,Y,1400 BROADWAY,NEW YORK,NY,10018
AMERICANEX,AMERICAN EXCHANGE MEXICO,AMERICANEXCHANGEMEXICO,30,NET 30,,,,N,XXXX,XXX,XX,XXXXX
AMERIKIDS,AMERICA'S KIDS,AMERICASKIDS,6C,CIT NET 60,,,,Y,320 FIFTH AVENUE,NEW YORK,NY,10001
AMEX-CA,AMERICAN EXCHANGE CALIFORNIA OFFICE,AMERICANEXCHANGECALIFORNIAOFFICE,,,,,,N,1022 LAWSON STREET,CITY OF INDUSTRY,CA,91748
AMLLC,A AND M (2015) LLC.,AANDM2015LLC,C4,CIT NET 45,,,,Y,50 DUFFLAW RD,TORONTO,ON,M6A2W1
AMMARS,AMMAR'S INC,AMMARSINC,C3,CIT NET 30,,,,N,710 SOUTH COLLEGE AVENUE,BLUEFIELD,VA,246051639
AMWAY,ACCESS BUSINESS GROUP,ACCESSBUSINESSGROUP,C3,CIT NET 30,,,,N,7575 EAST FULTON,ADA,MI,49301
AMXKIOSK,"ITW SALES, LLC",ITWSALESLLC,90,NET 90,,,,Y,1441 BROADWAY,NEW YORK,NY,10018
ANGELOS,ANGELO'S CDS & MORE,ANGELOSCDSMORE,,,,,,N,16711 E. ILIFF AVE.,AURORA,CO,80013
ANNEMARTI,KREATION BY ANNE,KREATIONBYANNE,CC,CREDIT CARD,,,,Y,9 HEATHER LANE,WARREN,NJ,07059
ANNESEZ,ANNIE SEZ,ANNIESEZ,C3,CIT NET 30,,,,N,12 VREELAND AVENUE,TOTOWA,NJ,07512
ANNIE,ANNIE SEZ,ANNIESEZ,,,,,,N,,,,
ANNIESEZ,ANNIE SEZ,ANNIESEZ,C3,CIT NET 30,,,,N,12 VREELAND AVENUE,TOTOWA,NJ,07512
ANSAR,ANSAR GROUP,ANSARGROUP,,,,,,N,2505 EL CAMINO REAL,TUSTIN,CA,92782
ANTHONYS,ANTHONYS MARCHAL CXA,ANTHONYSMARCHALCXA,,,,,,N,AVE ROMULO BEHANCOURT #1318,SANTO DOMINGO,DO,
ANTHRO,ANTHROPOLOGIE,ANTHROPOLOGIE,6C,CIT NET 60,ROUTING,,,Y,5000 SOUTH BROAD STREET,PHILADELPHIA,PA,191121495
ANTHROEU,ANTHROPOLOGIE EU,ANTHROPOLOGIEEU,,,FOB,,,Y,146 BRICK LANE,LONDON,XX,E16RU
ANTONIO,ANTONIO CHAHIN M.,ANTONIOCHAHINM,60,NET 60,,,,Y,AVE. ISABEL AGUIAR #101,SANTO DOMINGO,DO,33025
AOO,AGAINST ALL ODDS,AGAINSTALLODDS,30,NET 30,FEDGROUND,,,N,222 BRIDGE PLAZA SOUTH,FORT LEE,NJ,07024
APOLLO,APOLLO FASHION,APOLLOFASHION,C3,CIT NET 30,,,,N,11861 BISSONNET @ KIRKWOOD,HOUSTON,TX,77099
APPAREL,APPAREL FZCO,APPARELFZCO,30,NET 30,FEDGROUND,,,Y,JEBEL ALI FREE ZONE,DUBAI,XX,XXXXXXXXXX
AR,ARDENE,ARDENE,,,,,,N,,,,
ARDENE,ARDENE,ARDENE,30,NET 30,,,,Y,2575 BOUL. PITFIELD,MONTREAL,QC,H4S1W8
ARMYAIRFO,ARMY/AIRFORCE EXCH SVC,ARMYAIRFORCEEXCHSVC,C3,CIT NET 30,,,,Y,ATTN:FA-A,DALLAS,TX,75266
ARMYAIRFOR,ARMY AIRFORCE EXCHANGE,ARMYAIRFORCEEXCHANGE,C3,CIT NET 30,,PF,,Y,3911 S. WALTON WALKER BLVD,DALLAS,TX,752361598
ARMYNAVY,ARMY & NAVY,ARMYNAVY,60,NET 60,,,,Y,74 WEST CORDOVA STREET,VANCOUVER,BC,V6B 1C9
ASCOOPER,A.S. COOPER & SONS LIMITED,ASCOOPERSONSLIMITED,,,,,,N,P.O. BOX HM 1071,"HAMILTON  HM EX,  BERMUDA",,
ASESORES,ASESORES PROFESIONALES INVESTIMENTOS,ASESORESPROFESIONALESINVESTIMENTOS,60,NET 60,,,,Y,LAS PALMAS #94 COL.INDUSTRIAL LAS PALMAS,NUEVO LEON,XX,66368
ASHLEY,"ASHLEY STEWART, INC",ASHLEYSTEWARTINC,C8,CIT NET 10 EOM + 30,ROUTING,,,Y,"150 MEADOWLANDS PARKWAY, SUITE 403",SECAUCUS,NJ,07094
ASHLEYSB,ASHLEY'S CHILDREN BOUTIQUE,ASHLEYSCHILDRENBOUTIQUE,CC,CREDIT CARD,,,,Y,130 E COMMERCE ST,ABERDEEN,MS,39730
ASHLEYSTEW,ASHLEY STEWART LTD,ASHLEYSTEWARTLTD,C3,CIT NET 30,,,,N,URBAN BRANDS INC C/O MERCHANDISE PAYABLE,SECAUCUS,NJ,070962518
ASHRO,ASHRO INC,ASHROINC,,,,,,N,999,WESTMONT,IL,60559
ASSOCIATED,ASSOCIATED FOOD INC,ASSOCIATEDFOODINC,C3,CIT NET 30,,,,N,1850 WEST 2530 NORTH,ODGEN,UT,84404
ATLANTA,ATLANTA JEWELRY SUPPLY,ATLANTAJEWELRYSUPPLY,,,,,,N,250 SPRING STREET SUITE#65369,ATLANTA,GA,30303
ATLANTGOLD,ATLANTIC GOLD AND DIAMONDS,ATLANTICGOLDANDDIAMONDS,,,,,,N,70 NE LOOP 410 SUITE 920,SAN ANTONIO,TX,77036
ATMOSPHERE,ATMOSPHERE DISCOUNT SHOE CORP.,ATMOSPHEREDISCOUNTSHOECORP,,,,,,N,C/O  $5 SHOE WAREHOUSE STORE,BROOKLYN,NY,11223
AURAACCESS,AURA ACCESSORIES,AURAACCESSORIES,,,,,,N,309 EAST 11TH STREET,LOS ANGELES,CA,90015
AUTOMAT,AUTOMATIIQ INC.,AUTOMATIIQINC,,,,,,N,6860-B SYCAMORE CANYON BLVD,RIVERSIDE,CA,2506
AVANTE,AVANTE FREADY,AVANTEFREADY,,,,,,N,901 SHARPSTOWN MALL,HOUSTON,TX,77036
AVENUE,"AVENUE STORES, LLC",AVENUESTORESLLC,C8,CIT NET 10 EOM + 30,TRICAP,,,Y,365 WEST PASSAIC STREET,ROCHELLE PARK,NJ,07662
AVENUEIMPO,4TH AVENUE IMPORTS,4THAVENUEIMPORTS,C6,CIT NET 60,,,,Y,185 DORVAL QUEBEC,QUEBEC,QC,H9S5J9
AVISAPPARE,AVIS APPAREL,AVISAPPAREL,CC,CREDIT CARD,FEDEXGROUN,,,N,2656 OLD GRACE ROAD,DALTON,GA,30721
AVTOYS,A&V TOYS DBA NASHVILLE TOYS & BOOKS,AVTOYSDBANASHVILLETOYSBOOKS,CC,CREDIT CARD,,,,Y,2002 RICHARD JONES RD.,NASHVILLE,TN,37215
AX,VISTATECH ENTERPRISES LTD.,VISTATECHENTERPRISESLTD,90,NET 90,,,,N,935 BROADWAY,NEW YORK,NY,10010
AXNY,NEW,NEW,,,,,,Y,135 CEDAR ROAD,WILTON,CT,06897
AXNYFBA,AXNY GROUP FBA,AXNYGROUPFBA,30,NET 30,,,,Y,PO BOX 80387,SEATTLE,WA,98108
AXNYGROUP,AXNY GROUP FBM,AXNYGROUPFBM,30,NET 30,,,,Y,PO BOX 80387,SEATTLE,WA,98108
