wh,name,type,addr1,addr2,city,state,postal,country,active
01,DEFAULT WAREHOUSE,OURS,1407 BROADWAY,SUITE 2100,NEW YORK,NY,10018,USA,N
AA,AMERICAN EXCHANGE TIME LLC,SHIPPING,1441 BROADWAY 27TH FLOOR,,NEW YORK,NY,10018,USA,Y
AB,ALLBIRDS SHIP LOGIC 3PL,SHIPPING,375 E. MARKHAM ST,,PERRIS,CA,92571,USA,Y
AE,AMERICAN EXCHANGE TIME LLC.,OTHER,1407 BROADWAY,SUITE# 2100,NEW YORK,NY,10018,,N
AR,ARMS LOGISTICS,SHIPPING,2839 E. EL PRESIDIO STREET,,CARSON,CA,90810,USA,N
AU,AMERICAN EXCHANGE,SHIPPING,CO AUTOMATIQ INC,28 DISTRIBUTION BLVD,EDISON,NJ,08817,,N
BF,FBA FOR AE.COM ORDERS,SHIPPING,FBA ST,,FBA FBA FBA,,12345,USA,Y
BJ,AMERICAN EXCHANGE C-O BLUE MOU,SHIPPING,235 MURRAY ST,,NEWARK,NY,14513,USA,Y
BK,TIMING TRENDS,SHIPPING,34 35TH ST,6TH FLOOR,BROOKLYN,NY,11232,USA,N
BL,AMERICAN EXCHANGE (RIVERSIDE),SHIPPING,7350 SAN GORGONIO DR.,,RIVERSIDE,CA,92508,USA,N
BT,BLUE TIME,SHIPPING,60 JIFFY RD.,,SOMERSET,NJ,08873,USA,Y
C1,TACTICAL LOGISTIC SOLUTIONS,SHIPPING,13799 MONTE VISTA AVE,,CHINO,CA,91710,,N
CA,UNIVERSAL LOGISTICS GROUP WEST,SHIPPING,1550 CHARLES WILLARD ST,,CARSON,CA,90746,USA,N
CE,SUNNY JERSEY LOGISTICS CORP,SHIPPING,2367 E LINDEN AV,,LINDEN,NJ,07036,USA,N
CH,CHINA WAREHOUSE,SHIPPING,XXXXX,,XXXXX,XX,XXXXX,,N
D1,DIRECT SHIPPING,SHIPPING,DIRECT SHIPPING,,10018,,,USA,Y
DG,DMG,SHIPPING,207 MEADOW ROAD,,EDISON,NJ,08817,USA,Y
DS,DROP SHIP - AMERICAN EXCHANGE,SHIPPING,1560-B S. BAKER AVE,,ONTARIO,CA,91761 8071,USA,Y
F0,FOB CHINA,SHIPPING,.,.,.,.,. .,CHINA,N
FA,FBA WH FOR AE.COM,SHIPPING,FBA WH FOR AE.COM,,FBA FBA FBA,,12345,USA,Y
FB,AMAZON - FBA,SHIPPING,AMAZON - FBA,,AMAZON - FBA,XX,12345,USA,N
HT,AMERICAN EXCHANGE,SHIPPING,14063 BROWN ST.,,RIVERSIDE,CA,925082338,USA,Y
IT,ISAAC TEST,SHIPPING,1234 BROADWAY ST,,NEW YORK,NY,10018,,
JO,AMERICAN EXCHNAGE TIME,SHIPPING,1400 BRUNSWICK AVE,,FAR ROCKAWAY,NY,11691,USA,N
KS,KIOSK PROGRAM,SHIPPING,1560 S BAKER AVENUE,SUITE B,ONTARIO,CA,91761,USA,Y
MJ,MADISON JEWELERS,SHIPPING,MADISON AVENUE,,NEW YORK,NY,10018,,N
NA,AUTOMATIQ,SHIPPING,28 DISTRIBUTION BLVD,,EDISON,NJ,07717,USA,N
NJ,AMERICAN EXCHANGE,SHIPPING,CO AUTOMATIQ,28 DISTRIBUTION BLVD,EDISON,NJ,08817,USA,N
NY,AMERICAN EXCHANGE TIME,SHIPPING,1400 BROADWAY,18TH FLOOR,NEW YORK,NY,10018,USA,Y
ON,AMERICAN EXCHANGE (ONTARIO),SHIPPING,1560B S. BAKER AVE,,ONTARIO,CA,917618071,USA,N
OP,OPC TRUCKING,SHIPPING,1851 S. CUCAMONGA AVE,,ONTARIO,CA,917618071,USA,N
OT,OTTTIMO CREATIONS INC.,SHIPPING,495 DE LA COURS,,SAINTE-MARTHE-SUR-LE-LAC,QC,J0N 1P0,CANADA,N
PE,SHIP LOGIC 3PL,SHIPPING,375 E. MARKHAM ST,,PERRIS,CA,92571,USA,Y
PF,AMERICAN EXCHANGE ( RIVERSIDE),SHIPPING,7350 SAN GORGONIO DR,,RIVERSIDE,CA,92508,USA,Y
PJ,AMERICAN EXCHANGE TIME LLC,SHIPPING,EAST COAST POE,,NEW JERSEY,NJ,,USA,Y
PO,AMERICAN EXCHANGE TIME LLC,SHIPPING,WEST COAST POE,,LONG BEACH,CA,90802,USA,Y
PR,AMERICAN EXCHANGE,SHIPPING,1 BAKER ST,,PROVIDENCE,RI,02905,USA,Y
RA,AMERICAN EXCHANGE RMA GOOD,OTHER,1560-B S BAKER AVE,,ONTARIO,CA,91761,USA,N
RS,AMERICAN EXCHANGE (RIVERSIDE),SHIPPING,7350 SAN GORGONIO DR.,,RIVERSIDE,CA,925082303,USA,Y
RV,AMERICAN EXCHANGE *OLD*,SHIPPING,6860-B SYCAMORE CANYON BLVD,,RIVERSIDE,CA,925060715,USA,N
SE,AMERICAN EXCHANGE,SHIPPING,60 JIFFY ROAD,,SOMERSET,NJ,08873,USA,Y
SM,AMERICAN EXCHANGE TIME,SHIPPING,60 JIFFY ROAD,,SOMERSET,NJ,08873,USA,Y
TC,TACTICAL LOGISTIC SOLUTIONS,SHIPPING,13799 MONTE VISTA AVE,,CHINO,CA,91710,,N
TR,TRANSIT WH,SHIPPING,IN TRANSIT WH,,IN TRANSIT,,,USA,Y
W1,TIMING TRENDS COMPANY,SHIPPING,34 35TH STREET,FLOOR 6,BROOKLYN,NY,11232,USA,N
WK,WATCH KINGDOM WHSE,SHIPPING,2839 E. EL PRESIDIO STREET,,CARSON,CA,90810,USA,N
XX,AMERICAN EXCHANGE DMG,OTHER,7350 SAN GORGONIO DR.,,RIVERSIDE,CA,92508,USA,N
ZZ,DAMAGED WAREHOUSE,SHIPPING,DAMAGED WAREHOUSE,,X,X,X,USA,N
