"Customer","Cust Name","Addr 1","Addr 2","City","State","Postal","Country","Cust Tel","Cust Fax","Cust Type","Priority","Cust Vendor No","Ship Via","Ups Act No","Bol Type","Terms","Disc","Line Disc","Pr Cd","Rep1","Comm1","Rep2","Comm2","Rep3","Comm3","Territory","Master Cust","Cust Alias","Controller","Cust Ref1","Cust Ref2","Factor","Factor Cust No","Factor Appr No","Ship Type","Back Order","Fed Tax Id","Tax Exempt","Currency","Def Wh","Price List Id","Order Type","Order Hold","Div","Restrict Order Div","Restrict Style Div","Active","Entered By","Entry Date","Modified By","Modify Date","Terms Description","Credit Line","Cust Ref3","Cust Ref4","Cust Ref5","Sh Rule"
"01","#1 BEAUTY SUPPLY","1680 17 DUNN AVENUE","","JACKSONVILLE","FL","32218","USA","904-757-1722","904-757-1723","","C","","","","","C8","","","LP","SSS","","","","","","","01","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","MMONTES","05-JAN-21","CIT NET 10 EOM + 30","","","","",""
"010","A-Z WATCHES","7500 BELLAIRE BLVD.","SUITE #802","HOUSTON","TX","77036","USA","713-777-3786","713-988-6786","","C","","","","","30","","","LP","","","","","","","","010","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","SAMMYH","02-NOV-18","NET 30","","","","",""
"011","A & E STORES","1000 HUYLER STREET","","TETERBORO","NJ","07608","USA","201-393-0600","","","C","","","","","C8","","","LP","SSS","","","","","","","011","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","SAMMYH","02-NOV-18","CIT NET 10 EOM + 30","","","","",""
"02","618 MAIN CLOTHING CORP.DBA $10 SPOT/MADR","30 SEAVIEW DRIVE","","SEACAUCUS","NJ","07094","USA","201-319-1400","","","C","","","","","30","","","LP","","","","","","","","02","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","SAMMYH","02-NOV-18","NET 30","","","","",""
"03","1093472 ALBERTA LTD.","935 ARBOUR LAKE ROAD","NORTH WEST, CALGARY","ALBERTA","XX","T3G4S9","CANADA","780-618-0847","","","C","","","","","CC","","","LP","","","","","","","","03","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"04","2 MART","16890 SCHAEFER","","CETROIT","MI","48235","USA","313-342-4008","313-342-4333","","C","","","","","CO","","","LP","","","","","","","","04","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","SAMMYH","02-NOV-18","C.O.D.","","","","",""
"05","212 FARRENHEIT CLOTHING CO","946 WEST SUNSET BLVD.","SUITE D","ST. GEORGE","UT","84770","USA","435-652-0286","435-652-0287","","C","","","","","CC","","","LP","","","","","","","","05","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"06","4 CLOTHING SOLUTIONS","809 SNATA CRUZ AVENUE","","MENLO PARK","CA","94025","USA","650-322-8444","650-322-7444","","C","","","","","CC","","","LP","","","","","","","","06","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"07","9100-2196 QUE INC.","LESCHAUSSURES Y2B INC.","8802 BLVD.","ST. MICHEAL MONTREAL","XX","QCH123G2","CANADA","999 999-9999","","","C","","","","","","","","LP","","","","","","","","07","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","RAFAELM","31-MAR-26","","","","","",""
"08","95 & SUNNY","7211 EAST SOUTHERN AVENUE","SUITE #111","MESA","AZ","85029","USA","480-883-3700","","","C","","","","","CC","","","LP","","","","","","","","08","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","16-MAY-07","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
