Style,Clr,Style Descr,Clr Desc,Clr Abbr,Nrf Color,Sku,Sku Descr,Scale,Scale Abbr,Scale Pack Qty,Sku Ref1,Sku Ref2,Sku Ref3,Sku Ref4,Sku Ref5,Sku Season,Sku Active,Sold Out,Primary Color,Contrast Color,Accent Color,Other Color,Div,Grp,Body,Status,Season,Delivery,Master Style,Country,Duty Category,Duty Descr,Duty Type,Class,Vendor,Manf,Design Ref,Cloth Ref,Customer,Controller,Style Alias,Comm,Royalty Code,Royalty Code 2,Royalty Code 3,Invoice Descr,French Descr,Weight,Volume,Price,Pr High,Price C,Price D,Price E,Price F,Pr Low,Std Cost,Gp Value,Gp Pct,Markup Pct,Retail,Tax Category,Tax Category Descr,Type,Wash No,Ppk,Expires,Royalty Cost,Pack Qty,Wh,Freight Class,Nmfc Descr,Nmfc No,Nmfc Class,Product Type,Product Type Descr,Product Gender,Product Gender Descr,Style User1,Style User2,Style User3,Style User4,Style User5,Style Ref6,Style Ref7,Style Ref8,Style Ref9,Style Ref10,Style Ref11,Style Ref12,Style Ref13,Style Ref14,Style Ref15,Style Ref16,Style Ref17,Style Ref18,Style Ref19,Style Ref20,Sales Descr,Style Descr2,Project Id,Sales Comm Rate,Sales Comm For,Sales Price Comm1,Comm Rate1,Sales Price Comm2,Comm Rate2,Sales Price Comm3,Comm Rate3,Sales Price Comm4,Comm Rate4,Sales Price Comm5,Comm Rate5,Sales Price Comm6,Comm Rate6,Sales Price Comm7,Comm Rate7,Sales Price Comm8,Comm Rate8,Sales Price Comm9,Comm Rate9,Sales Price Comm10,Comm Rate10,Care Code
30078028,EMT,XOXO ICONIC REPEAT 28',ELEMENTAL BLUE,ELE,,30078028    EMT,XOXO ICONIC REPEAT 28',PC,PC,1,,,,,,S26,Y,N,,,,,LG,XO,,LINE,S26,,30078028,,,,,TRVL,,,,,STOCK,JILL,,2000,,,,XOXO SIGNATURE PRT E,,0,0,28.5,0,0,0,0,0,0,0,28.5,100,,0,,,,,S,,0,0,PO,,,,,,,,,N/A,N/A,POLYESTER,N/A,TRAVEL SET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L10080220,003,AE  LUGGAGE,BLACK,BLK,001,L10080220   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10080220,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10080224,003,AE  LUGGAGE,BLACK,BLK,001,L10080224   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10080224,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10080228,003,AE  LUGGAGE,BLACK,BLK,001,L10080228   003,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10080228,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
L10080520,007,AE  LUGGAGE,NAVY,NVY,410,L10080520   007,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10080520,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20,,,,,,,,,,,,,,,,,,,,,,,,
L10080524,007,AE  LUGGAGE,NAVY,NVY,410,L10080524   007,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10080524,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24,,,,,,,,,,,,,,,,,,,,,,,,
L10080528,007,AE  LUGGAGE,NAVY,NVY,410,L10080528   007,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10080528,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28,,,,,,,,,,,,,,,,,,,,,,,,
L10081320,009,AE  LUGGAGE,PINK,PNK,650,L10081320   009,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10081320,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 20',,,,,,,,,,,,,,,,,,,,,,,,
L10081324,009,AE  LUGGAGE,PINK,PNK,650,L10081324   009,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10081324,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 24',,,,,,,,,,,,,,,,,,,,,,,,
L10081328,009,AE  LUGGAGE,PINK,PNK,650,L10081328   009,AE  LUGGAGE,PC,PC,1,,,,,,C25,Y,N,,,,,LG,AE,,CUT,C25,,L10081328,,,,,TRVL,RUIAN,,,,ROSSSTORES,JILL,,1400,,,,AE  LUGGAGE,,0,0,27.33,0,0,0,0,0,0,15.5,11.83,43.3,76.3,0,,,,,S,,0,0,PE,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,SIZE : 28',,,,,,,,,,,,,,,,,,,,,,,,
