Wh,Wh Name,Wh Type,Wh Addr 1,Wh Addr 2,Wh City,Wh State,Wh Postal,Wh Phone,Wh Fax,Wh Country,Wh Region,Wh Remark,Edi Alias,Wh Active,Entered By,Entry Date,Modified By,Modify Date
01,DEFAULT WAREHOUSE,OURS,1407 BROADWAY,SUITE 2100,NEW YORK,NY,10018,212-287-9001,212-575-4812,USA,,,,N,NKW,23-DEC-14,ADMIN,06-JUN-16
AA,AMERICAN EXCHANGE TIME LLC,SHIPPING,1441 BROADWAY 27TH FLOOR,,NEW YORK,NY,10018,12122173799,,USA,,FOB CHINA-DIRECTO TO CUSTOMER,,Y,ADMIN,25-JAN-16,TEREZA,18-OCT-21
AB,ALLBIRDS SHIP LOGIC 3PL,SHIPPING,375 E. MARKHAM ST,,PERRIS,CA,92571,,,USA,,THIS IS FOR 3PL ALLBIRDS PERRIS WH,ALLBIR_EDI,Y,TEREZA,07-MAY-26,NKW,27-MAY-26
AE,AMERICAN EXCHANGE TIME LLC.,OTHER,1407 BROADWAY,SUITE# 2100,NEW YORK,NY,10018,212-287-9054,888-492-9431,,,,,N,KAVITA,05-FEB-13,ADMIN,19-JUL-16
AR,ARMS LOGISTICS,SHIPPING,2839 E. EL PRESIDIO STREET,,CARSON,CA,90810,310-835-5656,310-835-5252,USA,,,ARMLOG_EDI,N,ADMIN,24-JUL-14,SHIPPING2,26-DEC-18
AU,AMERICAN EXCHANGE,SHIPPING,CO AUTOMATIQ INC,28 DISTRIBUTION BLVD,EDISON,NJ,08817,212-244-7026,212-244-7028,,,,AUTOMQ_EDI,N,YVONNE,06-MAR-08,ADMIN,06-JUN-16
BF,FBA FOR AE.COM ORDERS,SHIPPING,FBA ST,,FBA FBA FBA,,12345,,,USA,,,,Y,ISAAC,04-MAR-22,,
BJ,AMERICAN EXCHANGE C-O BLUE MOU,SHIPPING,235 MURRAY ST,,NEWARK,NY,14513,,,USA,,,,Y,MEIR,19-SEP-19,NISSIM,27-FEB-25
BK,TIMING TRENDS,SHIPPING,34 35TH ST,6TH FLOOR,BROOKLYN,NY,11232,718-788-3863,718-788-4130,USA,,,,N,YVONNE,24-JAN-08,ADMIN,06-JUN-16
BL,AMERICAN EXCHANGE (RIVERSIDE),SHIPPING,7350 SAN GORGONIO DR.,,RIVERSIDE,CA,92508,909-218-3792,,USA,,PICK FRONT WAREHOUSE,,N,MSALAZAR,29-JAN-20,SAMMYH,02-MAR-20
BT,BLUE TIME,SHIPPING,60 JIFFY RD.,,SOMERSET,NJ,08873,,,USA,,,,Y,ISAAC,21-FEB-22,MEIR,18-APR-22
C1,TACTICAL LOGISTIC SOLUTIONS,SHIPPING,13799 MONTE VISTA AVE,,CHINO,CA,91710,,,,,,,N,ADMIN,16-JUN-17,SHIPPING2,26-DEC-18
CA,UNIVERSAL LOGISTICS GROUP WEST,SHIPPING,1550 CHARLES WILLARD ST,,CARSON,CA,90746,310-604-7500,,USA,,,UNILOG_EDI,N,TASHA,30-MAY-08,SHIPPING2,26-DEC-18
CE,SUNNY JERSEY LOGISTICS CORP,SHIPPING,2367 E LINDEN AV,, LINDEN,NJ,07036,201-565-7718,.,USA,,MJ NEW JERSEY WAREHOUSE,,N,AP,23-JUN-17,SHIPPING2,26-DEC-18
CH,CHINA WAREHOUSE,SHIPPING,XXXXX,,XXXXX,XX,XXXXX,,,,,,,N,TASHA,16-MAY-08,ADMIN,06-JUN-16
D1,DIRECT SHIPPING,SHIPPING,DIRECT SHIPPING,,10018,,,,,USA,,,,Y,ALEXANDRAC,05-MAR-26,,
DG,DMG,SHIPPING,207 MEADOW ROAD,,EDISON,NJ,08817,,,USA,,,,Y,ISAAC,24-JUN-22,,
DS,DROP SHIP - AMERICAN EXCHANGE,SHIPPING,1560-B S. BAKER AVE,,ONTARIO,CA,91761 8071,,,USA,,,,Y,ADMIN,18-MAY-17,SHIPPING2,08-JAN-19
F0,FOB CHINA,SHIPPING,.,.,.,.,. .,,.,CHINA,,,,N,YOKI,07-AUG-17,SHIPPING2,26-DEC-18
FA,FBA WH FOR AE.COM,SHIPPING,FBA WH FOR AE.COM,,FBA FBA FBA,,12345,,,USA,,,,Y,ISAAC,04-MAR-22,,
FB,AMAZON - FBA,SHIPPING,AMAZON - FBA,,AMAZON - FBA,XX,12345,,,USA,,,,N,ADMIN,18-MAY-17,ADMIN,18-JUL-18
HT,AMERICAN EXCHANGE,SHIPPING,14063 BROWN ST.,,RIVERSIDE,CA,925082338,909-218-3799,,USA,,AMERICAN EXCHANGE C/OHIGH TECH LOGISTICS,,Y,SAMMYH,16-MAR-21,EDIOPERATOR,26-SEP-25
IT,ISAAC TEST,SHIPPING,1234 BROADWAY ST,,NEW YORK,NY,10018,,,,USA,,,,Y,ISAAC,03-JAN-22,ISAAC,05-JAN-22
JO,AMERICAN EXCHNAGE TIME,SHIPPING,1400 BRUNSWICK AVE,,FAR ROCKAWAY,NY,11691,,,USA,,,,N,ADMIN,11-JAN-18,SAMMYH,02-MAR-20
KS,KIOSK PROGRAM,SHIPPING,1560 S BAKER AVENUE,SUITE B,ONTARIO,CA,91761,,,USA,,,,Y,SAMMYH,19-NOV-19,,
MJ,MADISON JEWELERS,SHIPPING,MADISON AVENUE,,NEW YORK,NY,10018,,,,,,,N,NADIAR,31-MAY-12,ADMIN,06-JUN-16
NA,AUTOMATIQ,SHIPPING,28 DISTRIBUTION BLVD,,EDISON,NJ,07717,,,USA,,,,N,KAVITA,29-APR-11,ADMIN,06-JUN-16
NJ,AMERICAN EXCHANGE,SHIPPING,CO AUTOMATIQ,28 DISTRIBUTION BLVD,EDISON,NJ,08817,,,USA,,,,N,DEVI,04-MAR-10,ADMIN,06-JUN-16
NY,AMERICAN EXCHANGE TIME,SHIPPING,1400 BROADWAY,18TH FLOOR,NEW YORK,NY,10018,,,USA,,,,Y,ADMIN,28-APR-17,ROSMIRY,25-MAR-24
ON,AMERICAN EXCHANGE (ONTARIO),SHIPPING,1560B S. BAKER AVE,,ONTARIO,CA,917618071,,,USA,,,,N,ADMIN,30-JAN-17,NKW,28-FEB-20
OP,OPC TRUCKING,SHIPPING,1851 S. CUCAMONGA AVE,,ONTARIO,CA,917618071,,,USA,,OPC TRUCKING,,N,MSALAZAR,10-FEB-19,SAMMYH,02-MAR-20
OT,OTTTIMO CREATIONS INC.,SHIPPING,495 DE LA COURS,,SAINTE-MARTHE-SUR-LE-LAC,QC,J0N 1P0,514-332-0301,514-337-4401,CANADA,,,,N,ADMIN,06-AUG-15,SAMMYH,02-MAR-20
PE,SHIP LOGIC 3PL,SHIPPING,375 E. MARKHAM ST,,PERRIS,CA,92571,909-218-3611,,USA,,,,Y,ISAAC,22-AUG-25,ISAAC,20-MAR-26
PF,AMERICAN EXCHANGE ( RIVERSIDE),SHIPPING,7350 SAN GORGONIO DR,,RIVERSIDE,CA,92508,909-218-3792,,USA,,PICK FRONT WAREHOUSE,,Y,SHIPPING2,03-AUG-18,MSALAZAR,29-JAN-20
PJ,AMERICAN EXCHANGE TIME LLC,SHIPPING,EAST COAST POE,,NEW JERSEY,NJ,,,,USA,,POE EAST COAST-PORT OF ENTERY,,Y,TEREZA,29-APR-26,TEREZA,29-APR-26
PO,AMERICAN EXCHANGE TIME LLC,SHIPPING,WEST COAST POE,,LONG BEACH,CA,90802,,,USA,,POE WEST COAST-PORT OF ENTERY,,Y,SAMMYH,07-JUN-21,ISAAC,28-APR-26
PR,AMERICAN EXCHANGE,SHIPPING,1 BAKER ST,,PROVIDENCE,RI,02905,909-218-3799,,USA,,,,Y,ISAAC,16-NOV-23,,
RA,AMERICAN EXCHANGE RMA GOOD,OTHER,1560-B S BAKER AVE,,ONTARIO,CA,91761,,,USA,,RMA GOOD,,N,SHIPPING2,23-AUG-18,SHIPPING2,26-DEC-18
RS,AMERICAN EXCHANGE (RIVERSIDE),SHIPPING,7350 SAN GORGONIO DR.,,RIVERSIDE,CA,925082303,909-218-3799,,USA,,,,Y,MSALAZAR,05-DEC-19,ISAAC,08-JUL-22
RV,AMERICAN EXCHANGE *OLD*,SHIPPING,6860-B SYCAMORE CANYON BLVD,,RIVERSIDE,CA,925060715,909-233-4001,,USA,,,AUTOMQ_EDI,N,ADMIN,10-JUL-14,SAMMYH,07-JAN-20
SE,AMERICAN EXCHANGE,SHIPPING,60 JIFFY ROAD,,SOMERSET,NJ,08873,,,USA,,,,Y,SAMMYH,20-MAY-21,,
SM,AMERICAN EXCHANGE TIME,SHIPPING,60 JIFFY ROAD,,SOMERSET,NJ,08873,212-287-9001,,USA,,,,Y,SAMMYH,06-APR-20,MEIR,25-APR-22
TC,TACTICAL LOGISTIC SOLUTIONS,SHIPPING,13799 MONTE VISTA AVE,,CHINO,CA,91710,,,,,,,N,ADMIN,16-JUN-17,SHIPPING2,26-DEC-18
TR,TRANSIT WH,SHIPPING,IN TRANSIT WH,,IN TRANSIT,,,,,USA,,,,Y,ISAAC,22-FEB-22,,
