customer,folder,source_pdf_count,export_file,checklist_file,export_type,export_rows,export_total_qty,export_orders_count,export_orders_sample,pdf_po_count,pdf_po_sample,po_overlap_count,po_mismatch,unique_styles_count,style_found_direct_count,style_pair_found_count,dept_from_filename,checklist_rows,notes
CITI TRENDS,CITI TRENDS,0,,,,0,0,0,,0,,0,NO,0,0,0,,0,
Shoe Show,Shoe Show,0,,,,0,0,0,,0,,0,NO,0,0,0,,0,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,2,export.xlsx,BEALLS OUTLET Check List PT 1754706 - 1754707.xlsx,xlsx,12,4130.0,2,1875165 | 1875166,5,1875165 | 1875166 | AMERICAN EXCHANGE | Inquiries | edidepartment,2,NO,5,5,6,272,26,
Bealls Outlet,Bealls Outlet/PT 1742390,2,,BEALLS OUTLET check list 1742390.xlsx,,0,0,0,,4,1841616-DT | 1841617-DT | Inquiries | See Attachment,0,NO,0,0,0,3075,26,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,2,export.xlsx,BEALLS OUTLET check list 1744532 - 1744533.xlsx,xlsx,16,1206.0,2,1785507 | 1785508,5,1785507-DT | 1785508-DT | Inquiries | Please contact compliance | See Attachment,0,YES,1,0,0,3655,26,
Bealls Outlet,Bealls Outlet/PT 1746887 - 1746890,4,export.xlsx,Bealls Outlet Checklist PT 1746887 - 1746890.xlsx,xlsx,32,2403.0,4,1785514 | 1785515 | 1786285 | 1786286,7,1785514-DT | 1785515-DT | 1786285-DT | 1786286-DT | Inquiries | Please contact compliance | See Attachment,0,YES,2,0,0,3655,38,
Bealls Outlet,Bealls Outlet/PT 1749472 - 1749473,2,export.xlsx,BEALLS OUTLET Check List PT 1749472 - 1749473.xlsx,xlsx,16,603.0,2,1785511 | 1785513,5,1785511-DT | 1785513-DT | Inquiries | Please contact compliance | See Attachment,0,YES,1,0,0,3655,26,
Bealls Outlet,Bealls Outlet/PT 1751802 - 1751803,0,export.xlsx,BEALLS OUTLET check list PT 1751802 - 1751803.xlsx,xlsx,2,600.0,2,1820943 | 1820944,0,,0,NO,1,0,0,,16,
Bealls Outlet,Bealls Outlet/PT 1752022,1,export.xlsx,BEALLS OUTLET check list PT 1752022.xlsx,xlsx,2,149.0,1,1831159,3,1831159-DT | Inquiries | See Attachment,0,YES,2,0,0,3005,16,
Bealls Outlet,Bealls Outlet/PT 1752093 - 1752096,4,export.xlsx,BEALLS OUTLET Check List PT 1752093 - 1752096.xlsx,xlsx,8,5046.0,4,1831117 | 1831144 | 1831145 | 1831152,6,1831117-DT | 1831144-DT | 1831145-DT | 1831152-DT | Inquiries | See Attachment,0,YES,8,4,4,3005,22,
Bealls Outlet,Bealls Outlet/PT 1752320 - 1752321,2,export.xlsx,BEALLS OUTLET Check List PT 1752320 - 1752321.xlsx,xlsx,8,2415.0,2,1829499 | 1829500,4,1829499 | 1829500 | Inquiries | See Attachment,2,NO,4,3,3,272,26,
Bealls Outlet,Bealls Outlet/PT 1752326 - 1752327,2,export.xlsx,Bealls Outlet Checklist PT 1752326 - 1752327.xlsx,xlsx,8,2400.0,2,1817617 | 1817618,4,1817617 | 1817618 | Inquiries | See Attachment,2,NO,4,4,4,270,22,
Bealls Outlet,Bealls Outlet/PT 1752515 - 1752516,2,export.xlsx,BEALLS OUTLET Check List PT 1752515 - 1752516.xlsx,xlsx,2,1200.0,2,1856019 | 1856020,5,1856019 | 1856020-DT | AMERICAN EXCHANGE | Inquiries | edidepartment,1,PARTIAL,1,1,1,270 | 3270,16,
Bealls Outlet,Bealls Outlet/PT 1752517 - 1752520,4,export.xlsx,BEALLS OUTLET check list 1752517 - 1752520.xlsx,xlsx,14,5070.0,4,1858077 | 1858202 | 1868201 | 1868202,7,1858077-DT | 1858202 | 1868201-DT | 1868202-DT | AMERICAN EXCHANGE | Inquiries | edidepartment,1,PARTIAL,6,6,8,270 | 3270,28,
Bealls Outlet,Bealls Outlet/PT 1752885 - 1752886,2,export.xlsx,BEALLS OUTLET check list 1742390.xlsx,xlsx,10,2100.0,2,1851712 | 1851713,4,1851712-DT | 1851713-DT | Inquiries | See Attachment,0,YES,2,2,5,3277,24,
Bealls Outlet,Bealls Outlet/PT 1753073 - 1753074,2,export.xlsx,BEALLS OUTLET check list 1753073 - 1753074.xlsx,xlsx,4,2398.0,2,1842720 | 1842721,4,1842720 | 1842721 | Inquiries | See Attachment,2,NO,2,1,1,275,18,
Bealls Outlet,Bealls Outlet/PT 1753101 - 1753102,1,export.xlsx,BEALLS OUTLET check list PT 1753101 - 1753102.xlsx,xlsx,2,1500.0,1,1858439,4,1858439 | AMERICAN EXCHANGE | Inquiries | edidepartment,1,NO,1,1,1,270,16,
Bealls Outlet,Bealls Outlet/PT 1753183 - 1753184,2,export.xlsx,BEALLS OUTLET check list PT 1753183 - 1753184.xlsx,xlsx,10,2400.0,2,1817648 | 1817649,5,1817648-DT | 1817649-DT | AMERICAN EXCHANGE | Inquiries | edidepartment,0,YES,5,0,0,3277,24,
Bealls Outlet,Bealls Outlet/PT 1753604,1,export.xlsx,BEALLS OUTLET check list 1753604.xlsx,xlsx,1,425.0,1,1858440,4,1858440 | AMERICAN EXCHANGE | Inquiries | edidepartment,1,NO,1,1,1,270,15,
Bealls Outlet,Bealls Outlet/PT 1753682 - 1753683,2,export.xlsx,BEALLS OUTLET Check List 1753682 - 1753683.xlsx,xlsx,4,542.0,2,1878034 | 1878035,5,1878034-DT | 1878035-DT | AMERICAN EXCHANGE | Inquiries | edidepartment,0,YES,2,2,2,3270,18,
