customer,folder,export_file,order_no,picktkt,style,clr,qty,upc,div,wh
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875165,1754706,WMH3281K-42,SDL,899.0,199347089455,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875165,1754706,WMH395-42,SDL,436.0,199347194142,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875165,1754706,WMH402-42,SDL,487.0,199347194470,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875165,1754706,WMH403-42,SDL,487.0,199347194524,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875165,1754706,WMH428-42,1BN,477.0,199347195040,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875165,1754706,WMH428-42,SDL,487.0,199347195033,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875166,1754707,WMH3281K-42,SDL,301.0,199347089455,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875166,1754707,WMH395-42,SDL,104.0,199347194142,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875166,1754707,WMH402-42,SDL,113.0,199347194470,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875166,1754707,WMH403-42,SDL,113.0,199347194524,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875166,1754707,WMH428-42,1BN,113.0,199347195040,,
Bealls Outlet,Bealls Outlet/PT  1754706 - 1754707,export.xlsx,1875166,1754707,WMH428-42,SDL,113.0,199347195033,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785507,1744532,03HOMESTEADK,WHA,0.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785507,1744532,03HOMESTEADK,WHA,188.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785507,1744532,03HOMESTEADK,WHA,188.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785507,1744532,03HOMESTEADK,WHA,188.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785507,1744532,03HOMESTEADK,WHA,94.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785507,1744532,03HOMESTEADK,WHA,94.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785507,1744532,03HOMESTEADK,WHA,94.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785507,1744532,03HOMESTEADK,WHA,0.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785508,1744533,03HOMESTEADK,WHA,0.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785508,1744533,03HOMESTEADK,WHA,80.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785508,1744533,03HOMESTEADK,WHA,80.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785508,1744533,03HOMESTEADK,WHA,80.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785508,1744533,03HOMESTEADK,WHA,40.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785508,1744533,03HOMESTEADK,WHA,40.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785508,1744533,03HOMESTEADK,WHA,40.0,,,
Bealls Outlet,Bealls Outlet/PT 1744532 - 1744533,export.xlsx,1785508,1744533,03HOMESTEADK,WHA,0.0,,,
Bealls Outlet,Bealls Outlet/PT 1746887 - 1746890,export.xlsx,1785514,1746887,03HAVENK,IMA,0.0,,,
Bealls Outlet,Bealls Outlet/PT 1746887 - 1746890,export.xlsx,1785514,1746887,03HAVENK,IMA,234.0,,,
